----------------------------------------------------------------
Program to calculate electron spin polarization and transmission
----------------------------------------------------------------
Partitionng the system into three regions based on Au atoms:
left electrode: 9 atoms
central region: 40 atoms
right electrode: 9 atoms
Note:
The first and last sets of heavy atoms are assummed be on left and right
electrodes, respectively.

Basis functions for the partitioned Hamiltonian/overlap matrix:
---------------------------------------------------------------
Left electrode: 198
Central: 279
Right electrode: 198
Total: 675

Default input parameters for electron transport:
------------------------------------------------
Local density of states constant (cLDOS): 0.0360
Fermi enegy: -5.00 eV
Scanning energy range from -7.00 to -2.00 eV.
Stepsize of 0.01 eV.

Electron transport w/o spin-orbit coupling for a radical system
---------------------------------------------------------------
# E-Efermi, percentage polarization,Tuu,Tdd,Tdu,Tud
 -2.00 -1.21911244  9.05994e-01  9.28357e-01  0.00000e+00  0.00000e+00
 -1.99 -1.39464191  8.77200e-01  9.02013e-01  0.00000e+00  0.00000e+00
 -1.98 -1.53502343  8.46530e-01  8.72924e-01  0.00000e+00  0.00000e+00
 -1.97 -1.64237745  8.14669e-01  8.41876e-01  0.00000e+00  0.00000e+00
 -1.96 -1.71942186  7.82225e-01  8.09596e-01  0.00000e+00  0.00000e+00
 -1.95 -1.76923118  7.49720e-01  7.76726e-01  0.00000e+00  0.00000e+00
 -1.94 -1.79502888  7.17584e-01  7.43817e-01  0.00000e+00  0.00000e+00
 -1.93 -1.80002199  6.86161e-01  7.11316e-01  0.00000e+00  0.00000e+00
 -1.92 -1.78727954  6.55712e-01  6.79578e-01  0.00000e+00  0.00000e+00
 -1.91 -1.75965120  6.26430e-01  6.48871e-01  0.00000e+00  0.00000e+00
 -1.90 -1.71971988  5.98445e-01  6.19388e-01  0.00000e+00  0.00000e+00
 -1.89 -1.66978073  5.71836e-01  5.91257e-01  0.00000e+00  0.00000e+00
 -1.88 -1.61183973  5.46643e-01  5.64554e-01  0.00000e+00  0.00000e+00
 -1.87 -1.54762546  5.22876e-01  5.39315e-01  0.00000e+00  0.00000e+00
 -1.86 -1.47860909  5.00517e-01  5.15540e-01  0.00000e+00  0.00000e+00
 -1.85 -1.40602888  4.79533e-01  4.93210e-01  0.00000e+00  0.00000e+00
 -1.84 -1.33091638  4.59878e-01  4.72284e-01  0.00000e+00  0.00000e+00
 -1.83 -1.25412241  4.41496e-01  4.52711e-01  0.00000e+00  0.00000e+00
 -1.82 -1.17634173  4.24329e-01  4.34431e-01  0.00000e+00  0.00000e+00
 -1.81 -1.09813575  4.08313e-01  4.17380e-01  0.00000e+00  0.00000e+00
 -1.80 -1.01995283  3.93385e-01  4.01492e-01  0.00000e+00  0.00000e+00
 -1.79 -0.94214617  3.79482e-01  3.86701e-01  0.00000e+00  0.00000e+00
 -1.78 -0.86498943  3.66544e-01  3.72941e-01  0.00000e+00  0.00000e+00
 -1.77 -0.78869005  3.54513e-01  3.60149e-01  0.00000e+00  0.00000e+00
 -1.76 -0.71340071  3.43331e-01  3.48265e-01  0.00000e+00  0.00000e+00
 -1.75 -0.63922892  3.32947e-01  3.37231e-01  0.00000e+00  0.00000e+00
 -1.74 -0.56624519  3.23312e-01  3.26994e-01  0.00000e+00  0.00000e+00
 -1.73 -0.49448975  3.14379e-01  3.17504e-01  0.00000e+00  0.00000e+00
 -1.72 -0.42397825  3.06106e-01  3.08713e-01  0.00000e+00  0.00000e+00
 -1.71 -0.35470642  2.98453e-01  3.00578e-01  0.00000e+00  0.00000e+00
 -1.70 -0.28665396  2.91384e-01  2.93059e-01  0.00000e+00  0.00000e+00
 -1.69 -0.21978772  2.84865e-01  2.86120e-01  0.00000e+00  0.00000e+00
 -1.68 -0.15406429  2.78867e-01  2.79727e-01  0.00000e+00  0.00000e+00
 -1.67 -0.08943217  2.73360e-01  2.73850e-01  0.00000e+00  0.00000e+00
 -1.66 -0.02583350  2.68321e-01  2.68459e-01  0.00000e+00  0.00000e+00
 -1.65  0.03679454  2.63725e-01  2.63531e-01  0.00000e+00  0.00000e+00
 -1.64  0.09851863  2.59553e-01  2.59042e-01  0.00000e+00  0.00000e+00
